10000078	NA	213		John	Aglionby			John Aglionby	John Aglionby									John Aglionby	IN	1566	1567	IN	1610	1610	1566/7-1610		165	1583	1610	NA	NA	NA
10000079	NA	214	Sir	Andrew	Agnew	of Lochnaw		Andrew Agnew of Lochnaw	Andrew Agnew of Lochnaw									Agnew, Sir Andrew, of Lochnaw	IN	1687	1687	IN	1771	1771	1687-1771	army officer	420	1687	1719	NA	NA	NA
10000080	NA	NA		Heinrich Cornelius	Agrippa	von Nettesheim		Cornelius Agrippa	Cornelius Agrippa									NA	IN	1486	NA	IN	1535	NA	NA	NA	NA	NA	NA	1509	1764	6
10000081	NA	73955		Joseph	Aickin			Joseph Aickin	Joseph Aickin									Aickin, Joseph	BF	1693	1693	CA	1705	1705	fl. 1693-1705?	grammarian	590	1658	1693	NA	NA	NA
10000082	NA	225		Thomas	Aikenhead			Thomas Aikenhead	Thomas Aikenhead									Aikenhead, Thomas	IN	1676	1676	IN	1697	1697	bap. 1676, d. 1697	freethinker and blasphemer	666	1661	1800	NA	NA	NA
10000083	NA	232		William	Aikman	of Cairnie		William Aikman of Cairnie	William Aikman of Cairnie									Aikman, William, of Cairnie	IN	1682	1682	IN	1731	1731	1682-1731	portrait painter	563	1682	1729	NA	NA	NA
10000084	NA	240		Henry	Ainsworth			Henry Ainsworth	Henry Ainsworth									Ainsworth, Henry	IN	1569	1569	IN	1622	1622	1569-1622	separatist minister and religious controversialist	2772	1570	1657	NA	NA	NA
10000085	NA	241		Robert	Ainsworth			Robert Ainsworth	Robert Ainsworth									Ainsworth, Robert	IN	1660	1660	IN	1743	1743	1660-1743	lexicographer and schoolmaster	2243	1611	1882	NA	NA	NA
10000086	NA	246		Henry	Airay			Henry Airay	Henry Airay									Airay, Henry	IN	1558	1560	IN	1616	1616	1558x60-1616	college head	1008	1579	1616	NA	NA	NA
10000087	NA	70045		William	Aird			William Aird	William Aird									Aird, William	AF	1496	NA	IN	1606	1607	d. 1606/7	Church of Scotland minister	447	1583	1602	NA	NA	NA
10000088	NA	252		John	Aislabie			John Aislabie	John Aislabie									Aislabie, John	IN	1670	1670	IN	1742	1742	1670-1742	politician	1093	1630	1721	NA	NA	NA
10000089	NA	96719		William	Aislabie			William Aislabie	William Aislabie									Aislabie, William	IN	1699	1700	IN	1781	1781	1699/1700-1781	landscape designer and landowner	1593	1700	1773	NA	NA	NA
10000090	NA	838		James	Aitken			James Aitken, James Atkine	James Aitken	James Atkine								Aitken [Atkine], James	IN	1612	1613	IN	1687	1687	1612/13-1687	bishop of Galloway	443	1636	1661	NA	NA	NA
10000091	NA	28089		Joseph van	Aken			Joseph van Aken	Joseph van Aken									Aken, Joseph van	IN	1699	1699	IN	1749	1749	c.1699-1749	drapery painter and painter of genre and conversation pieces	515	1720	1720	NA	NA	NA
10000092	NA	265		William	Alabaster			William Alabaster	William Alabaster									Alabaster, William	IN	1568	1568	IN	1640	1640	1568-1640	Church of England clergyman and writer	1530	1568	1635	NA	NA	NA
10000093	NA	271		John Fortescue	Aland			John Fortescue Aland	John Fortescue Aland									Aland, John Fortescue	IN	1670	1670	IN	1746	1746	1670-1746	judge	917	1670	1780	NA	NA	NA
