id,display_name,first_name,last_name,created_by,historical_significance,prefix,suffix,title,birth_year_type,birth_year,death_year_type,death_year,gender,approved_by,approved_on,odnb_id,created_at,updated_at,search_names_all,citation,aliases
10001419,Robert Boyle,Robert,Boyle,2,natural philosopher,,,,IN,1627,IN,1691,male,2,2017-06-05 14:54:05.522349,3137,2015-02-25 00:39:59.076973,2017-06-05 14:54:05.522073,"Robert Boyle, Robert, Robert Boyle",,
10003068,Samuel Crooke,Samuel,Crooke,2,Church of England clergyman and author,,,,IN,1575,IN,1649,male,2,2017-07-21 13:19:56.444873,6776,2015-02-25 00:40:25.857373,2017-07-21 13:19:56.444762,"Samuel Crooke, Samuel, Samuel Crooke",,
10002249,Robert Cecil,Robert,Cecil,2,politician and courtier,,,,IN,1563,IN,1612,male,2,2017-09-14 19:19:43.866942,4980,2015-02-25 00:40:13.581299,2017-09-14 19:19:43.866760,"Robert Cecil, Robert, Robert Cecil",,
10054889,Mary Wortley Montagu  Lady,Mary,Wortley Montagu ,563,"Aristocrat, letter writer and poet",,,Lady,IN,1689,IN,1762,female,563,2017-05-25 19:43:48.786534,,2017-05-25 19:37:40.256695,2017-05-25 19:43:48.786353,"Mary, Mary Wortley Montagu , Mary Wortley Montagu  Lady, Mary Pierrepont",,Mary Pierrepont
10006895,Sophia Charlotte von Kielmansegg,Sophia Charlotte von,Kielmansegg,2,courtier,,,,IN,1675,IN,1725,female,2,2017-05-25 19:32:25.743314,76310,2015-02-25 00:41:30.832264,2017-05-25 19:32:25.743071,"Sophia Charlotte von Kielmansegg, Sophia Charlotte von, Sophia Charlotte von Kielmansegg",,
10000959,Henry Bennet,Henry,Bennet,2,politician,,,,IN,1618,IN,1685,male,2,2017-07-21 00:48:42.918028,2104,2015-02-25 00:39:49.397006,2017-07-21 00:48:42.917924,"Henry Bennet, Henry, Henry Bennet",,
10007859,Lorenzo Magalotti,Lorenzo,Magalotti,2,Diplomat,,,,IN,1637,IN,1712,male,563,2017-06-08 18:39:58.451739,0,2015-02-25 00:41:45.608255,2017-06-08 18:39:58.451079,"Lorenzo Magalotti, Lorenzo, Lorenzo Magalotti",,
10011331,Jane Sowle,Jane,Sowle,2,printer,,,,CA,1631,IN,1711,female,5,2017-05-24 09:21:23.811658,70168,2015-02-25 00:42:42.276386,2017-05-24 09:21:23.810489,"Jane Sowle, Jane, Jane Sowle",,
10009828,Alexander Pope,Alexander,Pope,2,poet,,,,IN,1688,IN,1744,male,2,2017-06-12 18:21:34.833581,22526,2015-02-25 00:42:16.538605,2017-06-12 18:21:34.833432,"Alexander Pope, Alexander, Alexander Pope",,
10054898,Cosimo de' Medici III Grand Duke,Cosimo,de' Medici,563,Grand Duke of Tuscany ,,III,Grand Duke,IN,1642,IN,1723,male,563,2017-06-05 14:54:05.487042,,2017-06-05 14:51:29.039659,2017-06-05 14:54:05.486818,"Cosimo, Cosimo de' Medici, Cosimo de' Medici III, Cosimo de' Medici Grand Duke, Cosimo III",,
10054890,Katherine Sheffield Ducchess of Buckinghamshire and Normanby,Katherine,Sheffield,563,Ducchess of Buckinghamshire and Normanby,,,Ducchess of Buckinghamshire and Normanby,IN,1681,IN,1743,female,563,2017-06-12 16:36:57.762600,,2017-05-25 19:48:36.914001,2017-06-12 16:36:57.762470,"Katherine, Katherine Sheffield, Katherine Sheffield Ducchess of Buckinghamshire and Normanby",,
10006445,Edward Hyde,Edward,Hyde,2,politician and historian,,,Earl of Clarendon,IN,1609,IN,1674,male,5,2017-07-21 00:53:17.115697,14328,2015-02-25 00:41:23.653600,2017-07-21 00:53:17.115586,"Edward Hyde, Edward, Edward Hyde, Clarendon",,
10010973,John Sheffield,John,Sheffield,2,politician and author,,,,IN,1647,IN,1721,male,2,2017-05-25 19:58:06.325251,25297,2015-02-25 00:42:35.554710,2017-05-25 19:58:06.324751,"John Sheffield, John, John Sheffield",,
10005841,Thomas Herbert,Thomas,Herbert,2,politician and government official,,,,IN,1656,IN,1733,male,2,2017-05-26 15:29:35.484178,13050,2015-02-25 00:41:13.863889,2017-05-26 15:29:35.484071,"Thomas Herbert, Thomas, Thomas Herbert",,
10054891,George Dalrymple Baron of Exchequer,George,Dalrymple,563,Baron of Exchequer,,,Baron of Exchequer,IN,1680,IN,1745,male,563,2017-05-26 15:36:33.745357,,2017-05-26 15:34:20.528128,2017-05-26 15:36:33.745223,"George, George Dalrymple, George Dalrymple Baron of Exchequer",,
10011090,Mary Sidney,Mary,Sidney,2,courtier,,,,IN,1530,IN,1586,female,2,2017-07-20 18:06:36.154153,69749,2015-02-25 00:42:37.911039,2017-07-20 18:06:36.154050,"Mary Sidney, Mary Dudley, Mary, Mary Sidney",,
10001275,Giovanni Bononcini,Giovanni,Bononcini,2,composer,,,,IN,1670,IN,1747,male,2,2017-06-22 18:25:20.028181,40565,2015-02-25 00:39:54.927717,2017-06-22 18:25:20.028038,"Giovanni Bononcini, Giovanni, Giovanni Bononcini",,
10054892,Giacomo Rossi,Giacomo,Rossi,563,Poet and librettist,,,,BF,1700,AF,1729,male,563,2017-05-26 15:57:44.855382,,2017-05-26 15:54:35.080291,2017-05-26 15:57:44.855273,"Giacomo, Giacomo Rossi",,
