id,group_id,person_id,start_date_type,start_year,end_date_type,end_year,created_by,created_at,approved_by,approved_on,citation
31,81,10000495,AF/IN,1606,BF/IN,1624,1,2015-03-09 18:59:51.321197,4,2015-06-15 20:58:26.206100,
37,81,10002243,AF/IN,1606,BF/IN,1624,1,2015-03-09 19:06:15.489927,4,2015-06-15 21:11:46.710804,
43,81,10010258,AF/IN,1606,BF/IN,1619,1,2015-03-09 19:09:35.774224,4,2015-06-15 21:12:11.052380,
44,81,10004222,AF/IN,1606,BF/IN,1624,1,2015-03-09 19:10:04.533480,4,2015-06-15 21:12:15.239510,
48,81,10002757,AF/IN,1606,BF/IN,1624,1,2015-03-09 19:11:56.490322,4,2015-06-15 21:13:00.125164,
49,81,10009835,AF/IN,1606,BF/IN,1607,1,2015-03-09 19:12:29.349207,4,2015-06-15 21:13:05.846105,
161,64,10000832,AF/IN,1630,BF/IN,1660,1,2015-03-09 22:47:59.878134,4,2015-06-15 21:28:21.618153,
162,62,10003388,AF/IN,1678,BF/IN,1703,1,2015-03-09 22:49:33.507059,4,2015-06-15 21:28:24.158532,
164,50,10009186,AF/IN,1647,BF/IN,1649,5,2015-03-24 13:00:06.569649,4,2015-06-15 21:28:46.598589,
166,49,10013007,AF/IN,1649,BF/IN,1649,5,2015-03-24 13:06:05.741236,4,2015-06-15 21:28:51.546371,
167,50,10007158,AF/IN,1647,BF/IN,1649,5,2015-03-24 13:59:04.833976,4,2015-06-15 21:28:54.140805,
169,50,10002393,AF/IN,1647,BF/IN,1649,5,2015-03-24 14:06:18.515942,4,2015-06-15 21:28:59.536140,
170,50,10002394,AF/IN,1647,BF/IN,1649,5,2015-03-24 14:06:59.829668,4,2015-06-15 21:29:02.307339,
179,16,10005828,AF/IN,1600,BF/IN,1633,10,2015-04-07 20:00:46.111247,4,2015-06-15 21:29:07.262672,
181,80,10008812,AF/IN,1642,BF/IN,1727,4,2015-04-10 20:19:14.313045,4,2015-06-15 21:29:27.792140,
187,80,10010166,AF/IN,1512,BF/IN,1558,4,2015-04-15 19:53:33.115363,4,2015-06-15 21:29:30.468583,
188,12,10002316,AF/IN,1582,BF/IN,1589,4,2015-04-15 20:58:37.953028,4,2015-06-15 21:29:33.726150,
210,77,10008015,CA,1649,CA,1649,5,2015-05-04 01:27:01.352953,5,2015-05-04 01:26:29,
211,50,10012876,CA,1647,AF,1647,5,2015-05-04 01:28:35.603279,5,2015-05-04 01:28:06,
213,86,10000483,AF/IN,1568,BF/IN,1579,5,2015-05-06 14:08:22.450867,5,2015-05-06 14:08:06,
214,86,10050091,AF/IN,1568,BF/IN,1636,5,2015-05-06 14:52:28.247247,5,2015-05-06 14:52:02,
215,86,10001924,AF/IN,1568,BF/IN,1610,5,2015-05-06 15:00:13.406821,5,2015-05-06 15:00:05,
221,66,10010937,AF/IN,1603,BF/IN,1616,5,2015-05-11 18:57:03.193276,5,2015-05-11 18:56:49,
222,66,10002920,AF/IN,1603,BF/IN,1619,5,2015-05-11 19:13:29.266304,5,2015-05-11 19:12:42,
223,66,10012005,AF/IN,1603,BF/IN,1623,5,2015-05-11 19:14:08.134263,5,2015-05-11 19:13:36,
224,66,10000278,AF/IN,1603,BF/IN,1615,5,2015-05-11 19:14:54.941012,5,2015-05-11 19:14:21,
225,66,10009671,AF/IN,1603,BF/IN,1605,5,2015-05-11 19:20:27.139644,5,2015-05-11 19:20:18,
226,66,10001776,AF/IN,1603,BF/IN,1619,5,2015-05-11 19:21:38.235722,5,2015-05-11 19:21:31,
227,66,10005786,AF/IN,1603,BF/IN,1630,5,2015-05-11 19:22:57.611358,5,2015-05-11 19:22:49,
228,66,10002731,AF/IN,1603,BF/IN,1627,5,2015-05-11 19:23:14.961357,5,2015-05-11 19:23:03,
229,66,10007630,AF/IN,1603,BF/IN,1653,5,2015-05-11 19:25:23.870788,5,2015-05-11 19:24:42,
230,66,10050139,AF/IN,1603,IN,1608,5,2015-05-11 19:30:57.720371,5,2015-05-11 19:30:23,
231,66,10050140,AF/IN,1603,BF/IN,1613,5,2015-05-11 19:34:12.769739,5,2015-05-11 19:34:05,
232,50,10009960,AF/IN,1630,BF/IN,1657,5,2015-05-11 19:40:55.911307,5,2015-05-11 19:38:29,
233,50,10010070,AF/IN,1610,BF/IN,1648,5,2015-05-11 19:43:17.934675,5,2015-05-11 19:43:09,
234,77,10009524,AF/IN,1649,BF/IN,1649,5,2015-05-11 20:27:48.565816,5,2015-05-11 20:27:39,
235,79,10009524,AF/IN,1584,BF/IN,1661,5,2015-05-11 20:28:08.953440,5,2015-05-11 20:28:01,
236,56,10009524,AF/IN,1584,BF/IN,1661,5,2015-05-11 20:28:22.547194,5,2015-05-11 20:28:16,
237,56,10006305,AF/IN,1618,BF/IN,1669,5,2015-05-11 20:39:02.873463,5,2015-05-11 20:38:56,
238,60,10007921,AF/IN,1641,BF/IN,1699,5,2015-05-11 20:43:44.095976,5,2015-05-11 20:43:37,
239,60,10005597,AF/IN,1641,BF/IN,1660,5,2015-05-11 20:59:40.980152,5,2015-05-11 20:59:33,
240,77,10005597,AF/IN,1649,BF/IN,1649,5,2015-05-11 20:59:54.705060,5,2015-05-11 20:59:47,
241,24,10010029,AF/IN,1584,BF/IN,1643,5,2015-05-11 21:02:39.405628,5,2015-05-11 21:02:10,
242,24,10010259,AF/IN,1587,BF/IN,1658,5,2015-05-11 21:05:06.244582,5,2015-05-11 21:02:45,
243,24,10011414,AF/IN,1598,BF/IN,1673,5,2015-05-11 21:05:45.366500,5,2015-05-11 21:05:12,
244,24,10010253,AF/IN,1585,BF/IN,1636,5,2015-05-11 21:06:43.501554,5,2015-05-11 21:06:28,
245,24,10004254,AF/IN,1582,BF/IN,1662,5,2015-05-11 21:07:14.536982,5,2015-05-11 21:06:46,
246,24,10010531,AF/IN,1572,BF/IN,1658,5,2015-05-11 21:08:40.067186,5,2015-05-11 21:08:29,
247,24,10000717,AF/IN,1585,BF/IN,1644,5,2015-05-11 21:12:59.698992,5,2015-05-11 21:12:33,
248,24,10007022,AF/IN,1593,BF/IN,1639,5,2015-05-11 21:14:11.933793,5,2015-05-11 21:13:04,
249,88,10004775,AF/IN,1552,BF/IN,1608,5,2015-05-12 00:50:32.252174,5,2015-05-12 00:50:21,
250,88,10001733,AF/IN,1566,BF/IN,1620,5,2015-05-12 00:50:51.485908,5,2015-05-12 00:50:37,
251,88,10013268,AF/IN,1590,BF/IN,1661,5,2015-05-12 00:51:07.830597,5,2015-05-12 00:50:57,
252,88,10000182,AF/IN,1511,BF/IN,1621,5,2015-05-12 00:52:03.130467,5,2015-05-12 00:51:12,
253,88,10002537,AF/IN,1545,BF/IN,1655,5,2015-05-12 00:52:38.222464,5,2015-05-12 00:52:28,
254,88,10050088,AF/IN,1552,BF/IN,1627,5,2015-05-12 00:54:54.926643,5,2015-05-12 00:54:34,
255,88,10003584,AF/IN,1595,BF/IN,1649,5,2015-05-12 00:57:57.876751,5,2015-05-12 00:57:50,
256,60,10003584,AF/IN,1641,BF/IN,1649,5,2015-05-12 00:58:45.927357,5,2015-05-12 00:58:07,
257,88,10004911,AF/IN,1617,BF/IN,1678,5,2015-05-12 01:01:17.446770,5,2015-05-12 01:01:11,
258,88,10003052,AF/IN,1558,BF/IN,1609,5,2015-05-13 01:37:03.334728,5,2015-05-13 01:36:55,
259,81,10004724,AF/IN,1606,BF/IN,1622,5,2015-05-13 02:21:57.109235,5,2015-05-13 02:21:45,
260,78,10002919,AF/IN,1618,BF/IN,1667,5,2015-05-13 02:33:14.962018,5,2015-05-13 02:33:08,
261,86,10010771,IN,1568,BF/IN,1592,5,2015-05-14 01:08:06.211588,5,2015-05-14 01:07:00,
262,86,10006369,IN,1568,BF/IN,1579,5,2015-05-14 01:12:56.957322,5,2015-05-14 01:12:43,
263,63,10006012,AF/IN,1633,BF/IN,1639,5,2015-05-14 01:21:12.467991,5,2015-05-14 01:21:01,
264,81,10006012,AF/IN,1606,BF/IN,1624,5,2015-05-14 01:21:30.119132,5,2015-05-14 01:21:23,
220,81,10000473,AF/IN,1606,BF/IN,1624,5,2015-05-11 15:11:12.581206,4,2015-09-28 19:32:39.140072,
265,81,10010685,AF/IN,1606,BF/IN,1624,5,2015-05-15 14:34:08.824632,5,2015-05-15 14:34:01,
266,70,10010685,AF/IN,1561,BF/IN,1629,5,2015-05-15 14:37:30.778729,5,2015-05-15 14:37:12,
267,60,10009244,AF/IN,1641,BF/IN,1679,5,2015-05-15 15:19:45.657259,5,2015-05-15 15:19:38,
268,58,10009244,AF/IN,1615,BF/IN,1679,5,2015-05-15 15:20:31.941872,5,2015-05-15 15:20:00,
269,57,10009572,AF/IN,1542,BF/IN,1622,4,2015-05-27 01:19:21.213839,4,2015-05-27 01:19:08,
270,57,10012119,AF/IN,1491,CA,1532,4,2015-06-15 20:25:14.440150,4,2015-06-15 20:24:52,
152,58,10005360,AF/IN,1564,BF/IN,1604,1,2015-03-09 22:37:03.320998,4,2015-06-15 20:26:45.959020,
1,60,10010912,AF/IN,1641,BF/IN,1658,1,2015-03-09 18:11:53.137010,4,2015-06-15 20:51:43.347454,
4,60,10003058,AF/IN,1641,BF/IN,1658,1,2015-03-09 18:12:56.172495,4,2015-06-15 20:52:27.348900,
490,75,10013300,AF/IN,1660,BF/IN,1752,4,2015-12-18 00:48:48.748857,4,2015-12-18 00:47:57,
7,60,10010071,AF/IN,1641,BF/IN,1673,1,2015-03-09 18:14:08.061244,4,2015-06-15 20:52:37.345864,
9,65,10012933,AF/IN,1662,BF/IN,1701,1,2015-03-09 18:15:08.802728,4,2015-06-15 20:52:44.174066,
10,65,10013139,AF/IN,1662,BF/IN,1658,1,2015-03-09 18:27:24.071818,4,2015-06-15 20:52:48.208540,
13,65,10009549,AF/IN,1662,BF/IN,1703,1,2015-03-09 18:37:29.530326,4,2015-06-15 20:52:59.186865,
15,65,10005841,AF/IN,1662,BF/IN,1733,1,2015-03-09 18:38:25.035455,4,2015-06-15 20:53:05.890496,
18,65,10008812,AF/IN,1662,BF/IN,1727,1,2015-03-09 18:39:32.338159,4,2015-06-15 20:57:59.485231,
26,81,10010439,AF/IN,1606,BF/IN,1611,1,2015-03-09 18:57:09.710263,4,2015-06-15 20:58:08.548884,
27,81,10003919,AF/IN,1606,BF/IN,1624,1,2015-03-09 18:57:45.993650,4,2015-06-15 20:58:11.668320,
29,81,10005028,AF/IN,1606,BF/IN,1624,1,2015-03-09 18:59:11.918120,4,2015-06-15 20:58:18.679931,
34,81,10011712,AF/IN,1606,BF/IN,1624,1,2015-03-09 19:01:17.928110,4,2015-06-15 21:11:34.709016,
35,81,10011212,AF/IN,1606,BF/IN,1624,1,2015-03-09 19:01:36.591385,4,2015-06-15 21:11:41.868878,
39,81,10012309,AF/IN,1606,BF/IN,1624,1,2015-03-09 19:07:00.559410,4,2015-06-15 21:11:53.392632,
45,81,10002229,AF/IN,1606,BF/IN,1624,1,2015-03-09 19:10:25.365612,4,2015-06-15 21:12:19.489522,
52,81,10011273,AF/IN,1606,BF/IN,1624,1,2015-03-09 19:13:57.125267,4,2015-06-15 21:13:27.395816,
56,63,10006445,AF/IN,1633,BF/IN,1639,1,2015-03-09 19:20:43.195393,4,2015-06-15 21:13:46.396567,
58,63,10004717,AF/IN,1633,BF/IN,1639,1,2015-03-09 19:21:44.610604,4,2015-06-15 21:13:52.531346,
61,63,10008519,AF/IN,1633,BF/IN,1639,1,2015-03-09 19:22:52.065582,4,2015-06-15 21:14:01.947469,
63,68,10010937,AF/IN,1594,BF/IN,1616,1,2015-03-09 19:37:24.721009,4,2015-06-15 21:15:03.209175,
66,68,10009671,AF/IN,1594,BF/IN,1605,1,2015-03-09 19:38:18.037762,4,2015-06-15 21:18:54.844767,
68,68,10002920,AF/IN,1594,BF/IN,1619,1,2015-03-09 19:39:09.105305,4,2015-06-15 21:19:01.823940,
71,68,10005060,AF/IN,1594,BF/IN,1625,1,2015-03-09 19:40:13.422969,4,2015-06-15 21:19:09.762461,
73,67,10007980,AF/IN,1594,BF/IN,1593,1,2015-03-09 19:40:53.740696,4,2015-06-15 21:19:17.503402,
76,67,10010938,AF/IN,1594,BF/IN,1625,1,2015-03-09 19:42:05.152800,4,2015-06-15 21:19:25.900911,
78,67,10002318,AF/IN,1594,BF/IN,1625,1,2015-03-09 19:42:42.967334,4,2015-06-15 21:19:51.838584,
81,67,10003389,AF/IN,1594,BF/IN,1625,1,2015-03-09 19:43:56.733647,4,2015-06-15 21:20:00.651332,
84,1,10001497,AF/IN,1499,BF/IN,1503,1,2015-03-09 21:38:50.525089,4,2015-06-15 21:20:09.555164,
86,3,10007218,AF/IN,1535,BF/IN,1536,1,2015-03-09 21:42:21.517498,4,2015-06-15 21:20:14.504158,
89,6,10000560,AF/IN,1553,BF/IN,1563,1,2015-03-09 21:45:54.650203,4,2015-06-15 21:20:23.338939,
92,9,10003665,AF/IN,1560,BF/IN,1596,1,2015-03-09 21:48:00.043343,4,2015-06-15 21:20:50.224751,
98,17,10004153,AF/IN,1603,BF/IN,1606,1,2015-03-09 21:56:21.121684,4,2015-06-15 21:21:40.222146,
101,20,10002563,AF/IN,1620,BF/IN,1616,1,2015-03-09 21:58:20.905375,4,2015-06-15 21:21:47.784211,
103,22,10004223,AF/IN,1626,BF/IN,1637,1,2015-03-09 21:59:13.526184,4,2015-06-15 21:21:53.009918,
106,26,10007616,AF/IN,1640,BF/IN,1657,1,2015-03-09 22:03:19.734168,4,2015-06-15 21:22:01.376255,
109,27,10006076,AF/IN,1641,BF/IN,1641,1,2015-03-09 22:04:17.509259,4,2015-06-15 21:22:09.750410,
111,27,10005872,AF/IN,1641,BF/IN,1641,1,2015-03-09 22:04:48.920839,4,2015-06-15 21:22:34.725059,
114,28,10013261,AF/IN,1641,BF/IN,1641,1,2015-03-09 22:06:35.779081,4,2015-06-15 21:22:44.171452,
116,28,10011399,AF/IN,1641,BF/IN,1641,1,2015-03-09 22:07:05.746493,4,2015-06-15 21:22:51.920992,
119,31,10011949,AF/IN,1647,BF/IN,1647,1,2015-03-09 22:09:11.052930,4,2015-06-15 21:23:02.702578,
122,34,10000902,AF/IN,1653,BF/IN,1659,1,2015-03-09 22:10:31.449738,4,2015-06-15 21:23:11.915004,
124,36,10013139,AF/IN,1660,BF/IN,1658,1,2015-03-09 22:11:32.704653,4,2015-06-15 21:23:18.908558,
127,38,10012455,AF/IN,1666,BF/IN,1666,1,2015-03-09 22:13:23.998823,4,2015-06-15 21:25:55.627520,
135,61,10002790,AF/IN,1678,BF/IN,1683,1,2015-03-09 22:18:15.953561,4,2015-06-15 21:26:19.916660,
155,74,10012608,CA,1615,BF/IN,1616,1,2015-03-09 22:41:48.567734,4,2015-06-15 21:26:43.266296,
153,59,10013300,AF/IN,1641,BF/IN,1678,1,2015-03-09 22:37:22.575140,4,2015-06-15 21:26:56.058855,
147,53,10000026,AF/IN,1680,BF/IN,1740,1,2015-03-09 22:29:46.892966,4,2015-06-15 21:27:44.289764,
130,39,10012358,AF/IN,1667,BF/IN,1673,1,2015-03-09 22:14:10.014616,4,2015-06-15 21:26:04.921780,
