id,name,description,start_date_type,start_year,end_date_type,end_year,created_by,created_at,approved_by,approved_on,citation
125,Philosophers,"natural, moral, and political philosophers",CA,1500,CA,1700,5,2017-12-23 14:01:11.833864,5,2017-12-23 09:01:11 -0500,
126,Historians,early modern historians,CA,1500,CA,1700,5,2018-01-09 22:02:27.986607,5,2018-01-09 17:02:27 -0500,
127,Painters,painters,BF/IN,1500,AF/IN,1700,5,2018-01-29 02:38:13.714151,5,2018-01-28 21:38:13 -0500,
128,Scholars,scholars,BF/IN,1500,AF/IN,1700,5,2018-01-29 03:25:19.504580,5,2018-01-28 22:25:19 -0500,
129,Composers,musical composers,BF/IN,1500,AF/IN,1700,5,2018-01-29 03:41:16.624613,5,2018-01-28 22:41:16 -0500,
130,Actors,actors (male and female),CA,1500,CA,1700,5,2018-02-05 21:12:31.740715,5,2018-02-05 16:12:31 -0500,
131,Diplomats,credentialed diplomats of various nations,CA,1500,CA,1700,5,2018-02-05 21:57:19.456736,5,2018-02-05 16:57:19 -0500,
137,Benefactors of the Bodleian Library,"People who donated money, books, and MSS to the University of Oxford's Bodleian Library on its refoundation in 1600",CA,1600,CA,1605,579,2018-04-20 14:58:07.338027,11,2018-04-20 11:33:43 -0400,
138,Translators of the King James Bible,those responsible for translating the 1611 Authorized Version,CA,1604,CA,1611,5,2018-04-30 18:28:21.202762,5,2018-04-30 14:28:21 -0400,
139,Gray's Inn,"those admitted to Gray's Inn, one of the four London Inns of Court",BF,1500,AF,1700,5,2018-06-04 20:08:21.378921,5,2018-06-04 16:08:21 -0400,
140,Lincoln's Inn,One of the four Inns of Court in London,AF/IN,1422,CA,1700,613,2018-06-05 19:32:18.055687,5,2018-06-05 15:42:43 -0400,
141,Lexicographers,dictionary makers and word hounds,BF/IN,1500,AF/IN,1694,5,2018-06-05 20:53:51.885156,5,2018-06-05 16:53:51 -0400,
142,Inner Temple,"those admitted to Inner Temple, one of the four London Inns of Court",AF,1200,AF,1800,613,2018-06-07 19:11:22.090024,5,2018-06-07 15:11:45 -0400,
